[2026-04-10 15:25:02] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 12 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-11 11:45:36] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 96/478 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 11:45:39] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 16 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-11 11:45:39] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 81/495 packets in the last 20 seconds (16% of recent traffic).
[2026-04-11 11:45:39] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 82/495 packets in the last 20 seconds (17% of recent traffic).
[2026-04-11 11:45:39] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 83/492 packets in the last 20 seconds (17% of recent traffic).
[2026-04-11 11:45:39] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 84/490 packets in the last 20 seconds (17% of recent traffic).
[2026-04-11 11:45:39] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 85/487 packets in the last 20 seconds (17% of recent traffic).
[2026-04-11 11:45:39] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 86/485 packets in the last 20 seconds (18% of recent traffic).
[2026-04-11 11:45:39] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 87/482 packets in the last 20 seconds (18% of recent traffic).
[2026-04-11 11:45:40] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 102 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-11 11:45:40] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 201/445 packets in the last 20 seconds (45% of recent traffic).
[2026-04-11 11:45:40] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 26 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-11 11:45:41] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-11 11:45:41] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-11 11:45:43] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-11 11:45:44] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 126/485 packets in the last 20 seconds (26% of recent traffic).
[2026-04-11 11:45:47] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 88/438 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 11:45:47] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 89/437 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 11:45:47] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 90/438 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 11:45:47] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:30 | Traffic spike from a single source detected | 10.10.10.50 generated 91/439 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 11:45:47] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:31 | Traffic spike from a single source detected | 10.10.10.50 generated 92/440 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 11:45:47] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:32 | Traffic spike from a single source detected | 10.10.10.50 generated 93/441 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 11:45:47] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:33 | Traffic spike from a single source detected | 10.10.10.50 generated 94/442 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 11:45:47] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:34 | Traffic spike from a single source detected | 10.10.10.50 generated 95/443 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 11:45:47] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 16 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-11 11:45:47] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 96/444 packets in the last 20 seconds (22% of recent traffic).
[2026-04-11 11:45:48] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 108 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-11 11:45:48] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 228/472 packets in the last 20 seconds (48% of recent traffic).
[2026-04-11 11:45:50] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 81/429 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 11:45:50] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 82/430 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 11:45:50] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 83/431 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 11:45:50] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 84/432 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 11:45:50] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 85/433 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 11:45:50] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 86/434 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 11:45:50] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 87/435 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 11:45:51] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-11 11:45:51] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 26 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-11 11:45:52] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-11 11:45:52] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-11 11:45:55] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 126/485 packets in the last 20 seconds (26% of recent traffic).
[2026-04-11 11:45:58] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 16 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-11 11:45:58] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 88/436 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 11:45:58] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 89/437 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 11:45:58] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 90/438 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 11:45:58] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:30 | Traffic spike from a single source detected | 10.10.10.50 generated 91/439 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 11:45:58] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:31 | Traffic spike from a single source detected | 10.10.10.50 generated 92/440 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 11:45:58] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:32 | Traffic spike from a single source detected | 10.10.10.50 generated 93/441 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 11:45:58] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:33 | Traffic spike from a single source detected | 10.10.10.50 generated 94/442 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 11:45:58] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:34 | Traffic spike from a single source detected | 10.10.10.50 generated 95/443 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 11:45:58] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 96/444 packets in the last 20 seconds (22% of recent traffic).
[2026-04-11 11:45:58] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 81 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-11 11:45:58] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 201/445 packets in the last 20 seconds (45% of recent traffic).
[2026-04-11 11:46:02] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 81/429 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 11:46:02] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-11 11:46:02] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 82/430 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 11:46:02] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 83/431 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 11:46:02] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 84/432 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 11:46:02] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 85/433 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 11:46:02] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 86/434 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 11:46:02] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 87/435 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 11:46:03] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 26 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-11 11:46:03] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 145/484 packets in the last 20 seconds (30% of recent traffic).
[2026-04-11 11:46:03] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-11 11:46:03] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-11 11:46:06] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 16 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-11 11:46:06] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 111 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-11 11:46:06] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 231/468 packets in the last 20 seconds (49% of recent traffic).
[2026-04-11 11:46:09] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 88/436 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 11:46:09] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 89/437 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 11:46:09] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 90/438 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 11:46:09] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:30 | Traffic spike from a single source detected | 10.10.10.50 generated 91/439 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 11:46:09] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:31 | Traffic spike from a single source detected | 10.10.10.50 generated 92/440 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 11:46:09] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:32 | Traffic spike from a single source detected | 10.10.10.50 generated 93/441 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 11:46:09] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:33 | Traffic spike from a single source detected | 10.10.10.50 generated 94/442 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 11:46:09] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:34 | Traffic spike from a single source detected | 10.10.10.50 generated 95/443 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 11:46:10] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 96/444 packets in the last 20 seconds (22% of recent traffic).
[2026-04-11 11:46:10] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-11 11:46:13] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 81/429 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 11:46:13] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 82/430 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 11:46:13] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 83/431 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 11:46:13] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 84/432 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 11:46:13] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 85/433 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 11:46:13] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 86/434 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 11:46:13] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 87/435 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 11:46:14] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 26 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-11 11:46:14] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 126/485 packets in the last 20 seconds (26% of recent traffic).
[2026-04-11 11:46:14] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-11 11:46:14] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
